case,z_real_ohm,z_imag_ohm,z_abs_ohm,coil_rms_A_at_3V3_fundamental,coil_peak_V_at_3V3_fundamental
71,21.29558452947949,1.407178901254005,21.34202597956297,0.23723508834629015,44.56651347212609
72,17.86564955986418,-0.6379807000931875,17.877037046713493,0.25755176139896874,48.38316340204418
73,17.661546365490945,-0.5965132158373067,17.671617018175077,0.25796897028393023,48.46153943622167
74,17.60226747794556,-0.8836936000945409,17.624435728385404,0.25898755565087844,48.65288886431449
75,19.405316913909196,0.6308411178022323,19.415568110286145,0.24802697773014418,46.59385642113022
76,21.536507718445407,1.230360042120562,21.571623734431896,0.23650074135381302,44.42856050167142
77,18.37121697434606,-0.48308123301001726,18.37756731986547,0.254632071067827,47.83467616356567
78,18.132229548870935,-0.5629334046395709,18.140965862682375,0.2556421260843784,48.02442309694097
79,18.442133783879154,-0.8330345234137329,18.460938356965933,0.253007068417558,47.5294063866103
80,17.330343612402096,-0.6432178926070732,17.342276061154603,0.261541125583402,49.13259745039728
81,20.973836182918244,0.5413347281660372,20.98082094475355,0.23898021444778048,44.89434940253071
82,17.697159224328054,-0.5384385841331879,17.705348364833235,0.25854113799985723,48.569025729239826
83,19.467385907737903,0.27680523519520184,19.469353744257248,0.24797060718971387,46.583266763137274
84,17.44754362035347,-0.7840409011036903,17.46515097325931,0.2599976759891962,48.84264806890733
85,19.31384879620163,0.2576095100644604,19.315566726922995,0.24786878246206023,46.564138171627455
86,18.117803283933984,-0.7416538431264974,18.132976762196364,0.25538224426663386,47.97560221377225
87,20.534702915957546,1.0319376694811204,20.560615730087694,0.2419194307478005,45.44650475082022
88,17.69116453151439,-0.5752200568493017,17.700513568676882,0.2583590631594168,48.53482151060596
89,19.07605812050146,0.5199181071694391,19.083141991163625,0.25006640249764067,46.97697871560022
90,17.820109720334877,-0.6906190866119769,17.83348718471983,0.2577243171416286,48.415579381836835
91,18.59225427732973,-0.05465948781966455,18.592334624045854,0.25346525361557437,47.61548014973898
92,17.05842583958949,-0.9519415169617313,17.084966630827516,0.26252454304717454,49.31734030590592
93,17.3280443953287,-1.0369728869890222,17.359044770229517,0.260504619704815,48.93788151050832
94,17.389263435573955,-0.42073227657858264,17.394352488102115,0.2608903281684085,49.01033993796472
95,19.210841113862866,0.43109712078834894,19.215677480370967,0.24917752253665426,46.8099954879818
96,21.874395992919283,1.9777612305802006,21.963623096844227,0.2347895575090402,44.107100896336675
97,16.686247515152864,-1.2813429592476642,16.735372595677656,0.2654349629306939,49.86408601646911
98,16.886069324901804,-1.0893169205361193,16.921168653457595,0.2636301312547318,49.52503391518687
99,19.004652621975357,-0.275898284207094,19.006655180362042,0.2503576734262885,47.031696294926746
100,20.16126354938957,1.016917008117103,20.18689347347289,0.24414352325136238,45.86431836015678
101,22.02772964344928,1.801786046356051,22.101296482372646,0.23408098366757188,43.97398961894546
102,19.957337833650392,0.58826360952224,19.96600579687238,0.24482828156472625,45.99295569964316
103,19.200488473129404,0.18300395874292016,19.201360578242646,0.24920821941185195,46.81576214211203
104,16.71044560599368,-1.1859256866733583,16.752474804791834,0.264570173953276,49.701628473273026
105,18.342151454483066,-0.4505292621380477,18.347683684739003,0.2542761014063002,47.76780440852012
106,19.8606010805075,0.4134809727569169,19.86490477686434,0.24557033029826095,46.13235550390725
107,19.08287606382273,0.34566383549487356,19.08600645379718,0.250223786685733,47.00654459722341
108,20.00865360239998,0.30699235244407447,20.01100855242666,0.24475003000627912,45.978255516976
109,17.816697112783416,-1.1310750658952202,17.852563592194674,0.25705243786122883,48.28936147195554
110,18.972710994222872,0.2909974534902403,18.974942476546357,0.2499036609721093,46.94640641518451
111,18.986951544032024,-0.13134637395615356,18.987405847175953,0.2503791556560534,47.03573190403034
112,16.611878986839475,-1.6963821496599218,16.698270445500746,0.2639871715749045,49.59210680204348
113,19.95263682400967,0.7751981415103151,19.967690111513342,0.24440081174308192,45.912652066238685
114,19.058038270756448,0.055695170902939586,19.058119652307763,0.25005539438760965,46.974910753869004
115,20.169172669701503,0.2853146439299699,20.171190610032788,0.24386777289110745,45.81251644404518
116,19.411928232618784,0.3378439658754081,19.414867917490984,0.24880696463215154,46.740383214526204
117,20.306964035527418,0.6245575402774066,20.316566158219786,0.24302613767259765,45.65440852010442
118,16.623306418483736,-1.2137139307776248,16.66755584327127,0.2658101126106395,49.934560891758025
119,17.261433246379227,-1.3512542519640303,17.31424170365705,0.2605231814779917,48.94136848842592
120,17.433736762584427,-1.2978174857368832,17.481976654067818,0.2598151686122602,48.80836259482472
121,16.61712567608755,-1.5712620368318897,16.691247111084216,0.26409583176511237,49.612519490000146
122,19.419891605616954,0.1058239842955913,19.42017993453109,0.24719590168678673,46.437732122904215
123,17.786932594823256,-1.1338206660932169,17.82303342407364,0.2577866329999296,48.42728591546077
124,20.37629905024819,0.426779604137499,20.380767988857855,0.24253401107813394,45.561958593514554
125,17.231888269033927,-1.4866162437648376,17.295895500745097,0.26055326774778215,48.947020435434666
126,17.52653552082089,-1.1017650578958043,17.56113133045239,0.2597657137303319,48.799072098730385
127,20.46390167114631,0.8994145799165828,20.483657344158814,0.24221056583211045,45.50119681069865
128,18.718950138248665,-0.27470581676050054,18.720965721992062,0.2522150130069801,47.38061242711532
129,21.576237285356783,0.9991460682152331,21.599358977980113,0.23676701035665737,44.47858126877291
130,16.354474679627405,-1.8029176747419329,16.453551415681382,0.2658625744423,49.94441626746895
131,21.400827489472377,1.0947665855125375,21.428810772203654,0.23736847819208637,44.591571824164824
132,20.68921615054126,0.7116118820839654,20.70145058672315,0.24043092701229202,45.16687738943673
133,20.178054917133377,1.0643153300236092,20.20610470527592,0.2434721878341991,45.73820261934508
134,16.610528145635886,-1.6834452797465118,16.695617187958725,0.2635772053581674,49.51509136116293
135,18.182879169325208,-0.985634394216555,18.209573582194153,0.2549943334910588,47.90273006435222
136,17.435546002068868,-0.7342951405814265,17.451001511195315,0.25970153585942274,48.7870157711086
137,18.427295039202377,-0.5131740710344503,18.434439239884533,0.2532585143297865,47.576642517289635
138,16.461554745927128,-2.214152333183641,16.609793954402278,0.2640124935834635,49.59686374438053
139,19.117142506664212,-0.16826054723763667,19.117882969404963,0.25016023949633703,46.99460674818063
140,19.5151540146991,-0.20157738712250192,19.516195061036502,0.24794687306134403,46.578808116825215
141,17.76938051727861,-0.6512417566293821,17.781310407093688,0.2577575647516672,48.421825211958485
142,20.559463010025503,0.915676273987341,20.579844078596665,0.24202941527060948,45.46716622527435
143,19.01964622357538,0.021792282974274237,19.019658708125192,0.25041608036445834,47.042668506562684
144,17.320408329436518,-0.9273970042813939,17.34521864670388,0.2597429333258055,48.794792617089186
145,21.213012321019402,1.3698262642532453,21.257194446256516,0.23747103563138955,44.61083806143282
146,19.24296438382275,0.35737063168389127,19.246282551325617,0.24878560313388406,46.73637028580238
147,18.94072570352805,-0.3225946487229159,18.943472688070493,0.25107151074588063,47.16579635888554
148,19.20414364724611,0.21693812043921426,19.20536892049103,0.24942098058751702,46.85573103485772
149,19.069996556860033,0.12670529187255608,19.070417481262492,0.2501285005336741,46.988644329564686
150,20.542020825593678,0.9372997992595328,20.563393458104535,0.24114979481474175,45.30192246993421
151,21.381497249063496,1.3104277003905318,21.421616310859008,0.23766079694741415,44.64648624613454
152,19.823963103073556,0.9964907706249363,19.84899259327693,0.24637343275989862,46.28322474051793
153,20.407858548685038,1.0295113632416966,20.433809830527952,0.24305759170689334,45.660317412642044
154,19.505839932097683,0.5214828587622758,19.512809531910044,0.24784212377818227,46.55913012411442
155,18.098030510791084,-0.49427517512241004,18.1047788254446,0.25671649232629834,48.22625140964246
156,21.53739158459175,0.9920319955766109,21.560226430821434,0.23582727699494638,44.302044822091105
157,21.374300272327616,1.575264051193176,21.432269337674114,0.2367984873110118,44.484494467027346
158,21.080159727859737,0.8611553879860995,21.097742124557712,0.23880038969883807,44.860567881625734
159,17.95712261099272,-0.7378034160582809,17.972273265977602,0.2565625733533616,48.19733649646996
160,18.369250642426813,-0.5396960948527008,18.37717717820387,0.2538570111639987,47.689074946281806
161,16.156915632053718,-2.5074072233083724,16.35032151747484,0.26543334479547515,49.86378203679424
162,20.509237212738455,0.8819670597752244,20.528192247319403,0.242222998996653,45.50353248034582
163,18.957847861377793,-0.024827347164312445,18.957864118415706,0.25097810359792083,47.14824907721248
164,19.2573244929272,0.6730984047418644,19.269084256610636,0.24909146568452117,46.79382901831371
165,17.952789475848068,-0.18377204797466554,17.953730033888167,0.2571324013738047,48.30438325893204
166,17.69121092148285,-1.00989198907698,17.720012011790395,0.25739268924019243,48.353280421594036
167,22.214337963319306,1.4065253600023246,22.258821279144566,0.2327902873847472,43.73152197354823
168,19.201861928410185,-0.04465687202078481,19.201913856539072,0.24924885591287033,46.82339603464758
169,18.64712057707627,-0.5046327912742614,18.653947573370374,0.25287868395706653,47.50528833633374
170,18.554058601812496,-0.12159154933876686,18.55445701453866,0.25330933211054035,47.58618904485592
171,18.788177131605423,-0.41093726285891236,18.792670628800657,0.25135744027543877,47.219510513566284
172,18.36067034371307,-0.9296317995963271,18.384189695314976,0.25377661495274606,47.67397187338951
173,17.23699660340926,-1.2495512036051375,17.282228736953268,0.2612464216216712,49.077234948280434
174,21.638684423770865,0.74149320985297,21.65138507744486,0.2358479374821094,44.305926060258315
175,19.911309129576555,0.48672494305703556,19.917257151117784,0.24515824509771073,46.054941994927596
176,20.251364107466628,0.6941286072948175,20.2632564692019,0.24320789716800648,45.68855349864572
177,20.110219683165777,0.7484768685727655,20.124143542719445,0.243586764892386,45.759726838392424
178,20.958030476191507,1.0193194127648726,20.982803757034265,0.23919121801417212,44.93398811428203
179,17.183305963623194,-1.0850587511553011,17.21753049461354,0.2611457686662228,49.058326483574504
180,20.844153245420724,0.9944947384442104,20.86786391328486,0.23973636044964142,45.036397491680326
181,20.82687874340947,0.8445676917817008,20.843996084692655,0.2400299918138947,45.09155849776105
182,19.995338462218687,0.4701635357218735,20.00086533050519,0.24421918789940106,45.878532570962136
