References,MPN,LCSC,Package,Per_board,Boards,Placements,Minimum_placement,Loss_allowance,Planning_quantity,Available_order_quantity,Stock_status,Library,Assembly_mode,Preorder_MOQ,Observed_UTC,Source
"C30, C31",CC0805FRNPO0BN331,C527075,0805,2,5,10,20,8,28,4133,AVAILABLE,expand,smtWeld,195,2026-09-21T17:35:22.700748+00:00,https://jlcpcb.com/partdetail/C527075
"C32, C33",CC0805FRNPO0BN680,C576904,0805,2,5,10,20,6,26,8242,AVAILABLE,expand,smtWeld,282,2026-09-21T17:35:23.750594+00:00,https://jlcpcb.com/partdetail/C576904
"C36, C37",CC0805GRNPO0BN101,C527192,0805,2,5,10,20,8,28,50,TIGHT,expand,smtWeld,494,2026-09-21T17:35:23.751917+00:00,https://jlcpcb.com/partdetail/C527192
C44,CL21B475KAFNNNE,C98195,0805,1,5,5,20,8,28,331981,AVAILABLE,expand,smtWeld,210,2026-09-21T17:35:24.273755+00:00,https://jlcpcb.com/partdetail/C98195
C46,CL31B475KBHNNNE,C51205,1206,1,5,5,5,8,13,392640,AVAILABLE,expand,smtWeld,150,2026-09-21T17:35:25.412666+00:00,https://jlcpcb.com/partdetail/C51205
"C53, C54",CC0805JRNPO0BN330,C309485,0805,2,5,10,20,10,30,3902,AVAILABLE,expand,smtWeld,669,2026-09-21T17:35:25.322329+00:00,https://jlcpcb.com/partdetail/C309485
"D1, D2",B340A-13-F,C85098,SMA(DO-214AC),2,5,10,5,4,14,196958,AVAILABLE,expand,smtWeld,128,2026-09-21T17:35:25.846368+00:00,https://jlcpcb.com/partdetail/C85098
D3,KT-0603R,C2286,0603,1,5,5,20,10,30,2487503,AVAILABLE,base,smtWeld,1583,2026-09-21T17:35:27.015959+00:00,https://jlcpcb.com/partdetail/C2286
D4,SS14-E3/61T,C47460,SMA(DO-214AC),1,5,5,5,4,9,24657,AVAILABLE,expand,smtWeld,113,2026-09-21T17:35:26.967890+00:00,https://jlcpcb.com/partdetail/C47460
DS1,FH12A-24S-0.5SH(55),C506794,"SMD,P=0.5mm,Surface Mount，Right Angle",1,5,5,0,0,5,5189,AVAILABLE,expand,smtWeld,14,2026-09-21T17:35:46.332182+00:00,https://jlcpcb.com/partdetail/C506794
J1,USB4105-GF-A-120,C5184243,SMD,1,5,5,0,0,5,4838,AVAILABLE,expand,smtWeld,13,2026-09-21T17:35:27.418586+00:00,https://jlcpcb.com/partdetail/C5184243
J2,B2B-PH-SM4-TB(LF)(SN),C160352,"SMD,P=2mm",1,5,5,5,0,5,34636,AVAILABLE,expand,smtWeld,42,2026-09-21T17:35:28.538402+00:00,https://jlcpcb.com/partdetail/C160352
L1,LSXND3030QKT2R2MNG,C6980123,1212,1,5,5,5,2,7,1634,AVAILABLE,expand,smtWeld,80,2026-09-21T17:35:28.508586+00:00,https://jlcpcb.com/partdetail/C6980123
"L2, L3",0805HP-151XGRC,C20417049,0805,2,5,10,2,0,10,21,AVAILABLE,expand,smtWeld,14,2026-09-21T17:35:29.011355+00:00,https://jlcpcb.com/partdetail/C20417049
L4,LPS4018-103MRC,C6127589,"SMD,3.9x3.9mm",1,5,5,2,0,5,3578,AVAILABLE,expand,smtWeld,6,2026-09-21T17:35:30.296924+00:00,https://jlcpcb.com/partdetail/C6127589
"Q1, Q3",IRLML6402TRPBF,C2593,SOT-23,2,5,10,5,4,14,21425,AVAILABLE,expand,smtWeld,23,2026-09-21T17:35:30.271912+00:00,https://jlcpcb.com/partdetail/C2593
